date,open,high,low,close,adj close,volume,name
1/22/20,79.644997,79.997498,79.327499,79.425003,78.744957,101832400,AAPL
1/23/20,79.480003,79.889999,78.912498,79.807503,79.124184,104472000,AAPL
1/24/20,80.0625,80.832497,79.379997,79.577499,78.896149,146537600,AAPL
1/27/20,77.514999,77.942497,76.220001,77.237503,76.576187,161940000,AAPL
1/28/20,78.150002,79.599998,78.047501,79.422501,78.742477,162234000,AAPL
1/29/20,81.112503,81.962502,80.345001,81.084999,80.390747,216229200,AAPL
1/30/20,80.135002,81.022499,79.6875,80.967499,80.274246,126743200,AAPL
1/31/20,80.232498,80.669998,77.072502,77.377502,76.714989,199588400,AAPL
2/3/20,76.074997,78.372498,75.555,77.165001,76.504311,173985600,AAPL
2/4/20,78.827499,79.910004,78.407501,79.712502,79.029999,136616400,AAPL
2/5/20,80.879997,81.190002,79.737503,80.362503,79.674438,118826800,AAPL
2/6/20,80.642502,81.305,80.065002,81.302498,80.606384,105425600,AAPL
2/7/20,80.592499,80.849998,79.5,80.0075,79.510727,117684000,AAPL
2/10/20,78.544998,80.387497,78.462502,80.387497,79.888359,109348800,AAPL
2/11/20,80.900002,80.974998,79.677498,79.902496,79.406372,94323200,AAPL
2/12/20,80.3675,81.805,80.3675,81.800003,81.292099,113730400,AAPL
2/13/20,81.047501,81.555,80.837502,81.217499,80.713219,94747600,AAPL
2/14/20,81.184998,81.495003,80.712502,81.237503,80.733086,80113600,AAPL
2/18/20,78.839996,79.9375,78.652496,79.75,79.254822,152531200,AAPL
2/19/20,80,81.142502,80,80.904999,80.402649,93984000,AAPL
2/20/20,80.657501,81.162498,79.552498,80.074997,79.577805,100566000,AAPL
2/21/20,79.654999,80.112503,77.625,78.262497,77.776558,129554000,AAPL
2/24/20,74.315002,76.044998,72.307503,74.544998,74.082146,222195200,AAPL
2/25/20,75.237503,75.6325,71.532501,72.019997,71.572823,230673600,AAPL
2/26/20,71.6325,74.470001,71.625,73.162498,72.708221,198054800,AAPL
2/27/20,70.275002,71.5,68.239998,68.379997,67.955421,320605600,AAPL
2/28/20,64.315002,69.602501,64.092499,68.339996,67.915665,426884800,AAPL
3/2/20,70.57,75.360001,69.43,74.702499,74.238663,341397200,AAPL
3/3/20,75.917503,76,71.449997,72.330002,71.880898,319475600,AAPL
3/4/20,74.110001,75.849998,73.282501,75.684998,75.215065,219178400,AAPL
3/5/20,73.879997,74.887497,72.852501,73.230003,72.775307,187572800,AAPL
3/6/20,70.5,72.705002,70.307503,72.2575,71.808846,226176800,AAPL
3/9/20,65.9375,69.522499,65.75,66.542503,66.129333,286744800,AAPL
3/10/20,69.285004,71.610001,67.342499,71.334999,70.892075,285290000,AAPL
3/11/20,69.347504,70.305,67.964996,68.857498,68.429955,255598800,AAPL
3/12/20,63.985001,67.5,62,62.057499,61.672176,418474000,AAPL
3/13/20,66.222504,69.980003,63.237499,69.4925,69.061012,370732000,AAPL
3/16/20,60.487499,64.769997,60,60.552502,60.176525,322423600,AAPL
3/17/20,61.877499,64.402496,59.599998,63.215,62.822491,324056000,AAPL
3/18/20,59.942501,62.5,59.279999,61.6675,61.284599,300233600,AAPL
3/19/20,61.8475,63.209999,60.6525,61.195,60.815033,271857200,AAPL
3/20/20,61.794998,62.9575,57,57.310001,56.954155,401693200,AAPL
3/23/20,57.02,57.125,53.1525,56.092499,55.744217,336752800,AAPL
3/24/20,59.09,61.922501,58.575001,61.720001,61.336773,287531200,AAPL
3/25/20,62.6875,64.5625,61.075001,61.380001,60.998886,303602000,AAPL
3/26/20,61.630001,64.669998,61.59,64.610001,64.208832,252087200,AAPL
3/27/20,63.1875,63.967499,61.762501,61.935001,61.550438,204216800,AAPL
3/30/20,62.685001,63.880001,62.349998,63.702499,63.306961,167976400,AAPL
3/31/20,63.900002,65.622498,63,63.572498,63.177769,197002000,AAPL
4/1/20,61.625,62.18,59.782501,60.227501,59.853539,176218400,AAPL
4/2/20,60.084999,61.287498,59.224998,61.232498,60.852295,165934000,AAPL
4/3/20,60.700001,61.424999,59.7425,60.352501,59.977768,129880000,AAPL
4/6/20,62.724998,65.777496,62.345001,65.6175,65.210068,201820400,AAPL
4/7/20,67.699997,67.925003,64.75,64.857498,64.454796,202887200,AAPL
4/8/20,65.684998,66.842499,65.307503,66.517502,66.104485,168895200,AAPL
4/9/20,67.175003,67.517502,66.175003,66.997498,66.581505,162116400,AAPL
4/13/20,67.077499,68.425003,66.457497,68.3125,67.888336,131022800,AAPL
4/14/20,70,72.0625,69.512497,71.762497,71.31691,194994800,AAPL
4/15/20,70.599998,71.582497,70.157501,71.107498,70.665985,131154400,AAPL
4/16/20,71.845001,72.050003,70.587502,71.672501,71.22747,157125200,AAPL
4/17/20,71.172501,71.737503,69.214996,70.699997,70.261017,215250000,AAPL
4/20/20,69.487503,70.419998,69.212502,69.232498,68.80262,130015200,AAPL
4/21/20,69.07,69.3125,66.357498,67.092499,66.675911,180991600,AAPL
4/22/20,68.402496,69.474998,68.050003,69.025002,68.596413,117057200,AAPL
4/23/20,68.967499,70.4375,68.717499,68.7575,68.330582,124814400,AAPL
4/24/20,69.300003,70.752502,69.25,70.7425,70.303253,126508800,AAPL
4/27/20,70.449997,71.135002,69.987503,70.792503,70.352943,117087600,AAPL
4/28/20,71.269997,71.457497,69.550003,69.644997,69.212555,112004800,AAPL
4/29/20,71.182503,72.417503,70.972504,71.932503,71.485863,137280800,AAPL
4/30/20,72.489998,73.6325,72.087502,73.449997,72.993935,183064000,AAPL
